name,sku,category,price,compareAtPrice,stock,description,shortDescription,image_1,weight,status,featured
Kamar Bandh (Waist Belt) for Murti Jumbo,RAM-MS-015,Mukut & Shringar,559,689,95,Golden finish kamar bandh waist belt with hanging chains and stone work for deity murti adornment.,Decorative deity waist ornament,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,46,ACTIVE,false
Meenakari Shringar Set Heritage,RAM-MS-016,Mukut & Shringar,369,409,19,Exquisite Meenakari enamel work shringar set in traditional Rajasthani style for deity decoration.,Rajasthani enamel work jewelry set,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,64,ACTIVE,false
Deity Armlet Bajuband Pair Artisan,RAM-MS-017,Mukut & Shringar,179,219,42,Ornate bajuband pair with spring mechanism for easy fitting on deity murti arms. Stone and pearl work.,Upper arm decoration for murti,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,28,ACTIVE,false
Chhatra Umbrella for Deity Medium Inch,RAM-MS-018,Mukut & Shringar,979,1099,37,Handcrafted decorative chhatra (umbrella) with velvet and golden embroidery for deity procession and mandir.,Miniature ceremonial umbrella,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,100,ACTIVE,false
Morpankh (Peacock Feather) Set Heritage,RAM-MS-019,Mukut & Shringar,99,129,244,Premium quality natural peacock feathers for Lord Krishna murti decoration. Ethically sourced and preserved.,Natural peacock feather for Krishna,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,17,ACTIVE,false
Deity Payal Anklet Set Heritage,RAM-MS-020,Mukut & Shringar,299,329,119,Delicate silver-tone payal anklets with tiny jingling bells for deity murti feet decoration.,Miniature anklet bells for murti,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,11,ACTIVE,false
Gold Plated Stone Studded Mukut Small Inch,RAM-MS-021,Mukut & Shringar,549,749,69,Adjustable gold-finish stone-studded mukut crown with intricate kundan work. Perfect for Krishna and other deity murtis.,Royal crown for deity idols,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,143,ACTIVE,false
Silver Finish Deity Mukut Crown Compact Inch,RAM-MS-022,Mukut & Shringar,799,999,91,"High-quality silver-plated mukut with pearl and crystal embellishments for Shiva, Ganesh, and other deities.",Elegant silver-tone deity crown,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,66,ACTIVE,false
Brass Bansuri (Flute) for Krishna Standard Inch,RAM-MS-023,Mukut & Shringar,519,659,117,Handcrafted brass bansuri with golden finish for Krishna murti shringar. Detailed finger holes and mouthpiece.,Decorative brass flute for Lord Krishna,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,47,ACTIVE,false
Deity Necklace Haar Set Royal,RAM-MS-024,Mukut & Shringar,1289,1489,42,Intricate miniature necklace haar set with matching earrings and tikka for deity shringar decoration.,Miniature jewelry set for murti,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,39,ACTIVE,false
Kamar Bandh (Waist Belt) for Murti Large,RAM-MS-025,Mukut & Shringar,469,559,69,Golden finish kamar bandh waist belt with hanging chains and stone work for deity murti adornment.,Decorative deity waist ornament,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,15,ACTIVE,false
Meenakari Shringar Set Temple Grade,RAM-MS-026,Mukut & Shringar,669,869,31,Exquisite Meenakari enamel work shringar set in traditional Rajasthani style for deity decoration.,Rajasthani enamel work jewelry set,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,46,ACTIVE,false
Deity Armlet Bajuband Pair Heritage,RAM-MS-027,Mukut & Shringar,389,459,62,Ornate bajuband pair with spring mechanism for easy fitting on deity murti arms. Stone and pearl work.,Upper arm decoration for murti,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,10,ACTIVE,false
Chhatra Umbrella for Deity Premium Inch,RAM-MS-028,Mukut & Shringar,479,559,53,Handcrafted decorative chhatra (umbrella) with velvet and golden embroidery for deity procession and mandir.,Miniature ceremonial umbrella,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,62,ACTIVE,false
Morpankh (Peacock Feather) Set Traditional,RAM-MS-029,Mukut & Shringar,89,119,125,Premium quality natural peacock feathers for Lord Krishna murti decoration. Ethically sourced and preserved.,Natural peacock feather for Krishna,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,11,ACTIVE,false
Deity Payal Anklet Set Deluxe,RAM-MS-030,Mukut & Shringar,259,289,115,Delicate silver-tone payal anklets with tiny jingling bells for deity murti feet decoration.,Miniature anklet bells for murti,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,15,ACTIVE,false
Gold Plated Stone Studded Mukut Jumbo Inch,RAM-MS-031,Mukut & Shringar,1039,1149,67,Adjustable gold-finish stone-studded mukut crown with intricate kundan work. Perfect for Krishna and other deity murtis.,Royal crown for deity idols,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,148,ACTIVE,false
Silver Finish Deity Mukut Crown Large Inch,RAM-MS-032,Mukut & Shringar,609,769,41,"High-quality silver-plated mukut with pearl and crystal embellishments for Shiva, Ganesh, and other deities.",Elegant silver-tone deity crown,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,45,ACTIVE,false
Brass Bansuri (Flute) for Krishna Premium Inch,RAM-MS-033,Mukut & Shringar,519,599,128,Handcrafted brass bansuri with golden finish for Krishna murti shringar. Detailed finger holes and mouthpiece.,Decorative brass flute for Lord Krishna,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,34,ACTIVE,false
Deity Necklace Haar Set Traditional,RAM-MS-034,Mukut & Shringar,1389,1689,109,Intricate miniature necklace haar set with matching earrings and tikka for deity shringar decoration.,Miniature jewelry set for murti,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,40,ACTIVE,false
Kamar Bandh (Waist Belt) for Murti Premium,RAM-MS-035,Mukut & Shringar,159,189,74,Golden finish kamar bandh waist belt with hanging chains and stone work for deity murti adornment.,Decorative deity waist ornament,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,26,ACTIVE,false
Meenakari Shringar Set Artisan,RAM-MS-036,Mukut & Shringar,1739,2209,31,Exquisite Meenakari enamel work shringar set in traditional Rajasthani style for deity decoration.,Rajasthani enamel work jewelry set,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,20,ACTIVE,false
Deity Armlet Bajuband Pair Deluxe,RAM-MS-037,Mukut & Shringar,119,149,133,Ornate bajuband pair with spring mechanism for easy fitting on deity murti arms. Stone and pearl work.,Upper arm decoration for murti,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,14,ACTIVE,false
Chhatra Umbrella for Deity Large Inch,RAM-MS-038,Mukut & Shringar,479,589,42,Handcrafted decorative chhatra (umbrella) with velvet and golden embroidery for deity procession and mandir.,Miniature ceremonial umbrella,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,148,ACTIVE,false
Morpankh (Peacock Feather) Set Royal,RAM-MS-039,Mukut & Shringar,239,289,211,Premium quality natural peacock feathers for Lord Krishna murti decoration. Ethically sourced and preserved.,Natural peacock feather for Krishna,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,19,ACTIVE,false
Deity Payal Anklet Set Traditional,RAM-MS-040,Mukut & Shringar,139,179,200,Delicate silver-tone payal anklets with tiny jingling bells for deity murti feet decoration.,Miniature anklet bells for murti,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,14,ACTIVE,false
Gold Plated Stone Studded Mukut Extra Large Inch,RAM-MS-041,Mukut & Shringar,759,919,50,Adjustable gold-finish stone-studded mukut crown with intricate kundan work. Perfect for Krishna and other deity murtis.,Royal crown for deity idols,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,84,ACTIVE,false
Silver Finish Deity Mukut Crown Jumbo Inch,RAM-MS-042,Mukut & Shringar,1859,2439,68,"High-quality silver-plated mukut with pearl and crystal embellishments for Shiva, Ganesh, and other deities.",Elegant silver-tone deity crown,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,96,ACTIVE,false
Brass Bansuri (Flute) for Krishna Jumbo Inch,RAM-MS-043,Mukut & Shringar,279,359,38,Handcrafted brass bansuri with golden finish for Krishna murti shringar. Detailed finger holes and mouthpiece.,Decorative brass flute for Lord Krishna,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,84,ACTIVE,false
Deity Necklace Haar Set Deluxe,RAM-MS-044,Mukut & Shringar,1379,1739,92,Intricate miniature necklace haar set with matching earrings and tikka for deity shringar decoration.,Miniature jewelry set for murti,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,21,ACTIVE,false
Kamar Bandh (Waist Belt) for Murti Medium,RAM-MS-045,Mukut & Shringar,669,849,92,Golden finish kamar bandh waist belt with hanging chains and stone work for deity murti adornment.,Decorative deity waist ornament,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,38,ACTIVE,false
Meenakari Shringar Set Sacred,RAM-MS-046,Mukut & Shringar,1629,2169,57,Exquisite Meenakari enamel work shringar set in traditional Rajasthani style for deity decoration.,Rajasthani enamel work jewelry set,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,38,ACTIVE,false
Deity Armlet Bajuband Pair Handcrafted,RAM-MS-047,Mukut & Shringar,359,479,37,Ornate bajuband pair with spring mechanism for easy fitting on deity murti arms. Stone and pearl work.,Upper arm decoration for murti,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,15,ACTIVE,false
Chhatra Umbrella for Deity Standard Inch,RAM-MS-048,Mukut & Shringar,1179,1529,28,Handcrafted decorative chhatra (umbrella) with velvet and golden embroidery for deity procession and mandir.,Miniature ceremonial umbrella,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,143,ACTIVE,false
Morpankh (Peacock Feather) Set Classic,RAM-MS-049,Mukut & Shringar,79,99,96,Premium quality natural peacock feathers for Lord Krishna murti decoration. Ethically sourced and preserved.,Natural peacock feather for Krishna,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,20,ACTIVE,false
Deity Payal Anklet Set Classic,RAM-MS-050,Mukut & Shringar,269,339,158,Delicate silver-tone payal anklets with tiny jingling bells for deity murti feet decoration.,Miniature anklet bells for murti,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=800&auto=format&fit=crop&q=80,15,ACTIVE,false
5 Mukhi Rudraksha Japa Mala 108+1 Beads Artisan,RAM-ML-001,Mala,1349,1799,78,Lab-certified genuine 5 mukhi Nepali Rudraksha beads strung in traditional red silk thread. 108+1 beads for japa meditation.,Certified Nepali Rudraksha prayer mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,53,ACTIVE,true
Tulsi Japa Mala Royal Beads,RAM-ML-002,Mala,689,859,55,Hand-carved original tulsi (holy basil) wood beads strung on silk thread. Sacred for Vaishnavite devotees and daily jaap.,Holy basil wood meditation mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,24,ACTIVE,true
Sphatik (Crystal Quartz) Mala Temple Grade,RAM-ML-003,Mala,1349,1809,63,Premium quality natural sphatik (crystal quartz) mala with transparent beads. Ideal for Devi puja and spiritual healing.,Natural crystal quartz prayer mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,45,ACTIVE,true
Sandalwood (Chandan) Mala Jumbomm Beads,RAM-ML-004,Mala,2709,3009,29,Genuine Mysore sandalwood mala with natural fragrance that deepens with meditation. Calming and spiritual aid.,Fragrant sandalwood meditation beads,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,66,ACTIVE,false
White Vaijanti Mala Artisan,RAM-ML-005,Mala,579,719,80,Natural white vaijanti beads mala sacred to Lord Vishnu. Used for Vishnu Sahasranama and Narayana mantra jaap.,Sacred Job's tears seed mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,22,ACTIVE,false
Red Coral (Moonga) Mala Heritage,RAM-ML-006,Mala,639,779,31,Authentic red coral (moonga) bead mala for Mangal (Mars) graha shanti puja and astrological remedies.,Natural red coral prayer mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,49,ACTIVE,false
Black Agate (Hakik) Mala Classic,RAM-ML-007,Mala,459,559,40,Polished natural black hakik (agate) mala for protection and grounding meditation. 108+1 beads on silk cord.,Semi-precious black onyx prayer mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,55,ACTIVE,false
Lotus Seed (Kamal Gatta) Mala Traditional,RAM-ML-008,Mala,159,179,79,Natural dried lotus seed mala sacred for Lakshmi puja. Each seed represents purity and spiritual awakening.,Dried lotus seed meditation beads,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,36,ACTIVE,false
Tiger Eye Stone Mala Royal,RAM-ML-009,Mala,1009,1369,44,"Polished natural tiger eye semi-precious stone mala for courage, confidence, and spiritual protection.",Natural tiger eye crystal mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,51,ACTIVE,false
Navratna (Nine Gem) Bracelet Mala Handcrafted,RAM-ML-010,Mala,849,1129,38,Genuine navratna bracelet with 9 natural gemstones representing all 9 planets for astrological harmony.,Nine-gem astrological bracelet,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,35,ACTIVE,false
Pearl (Moti) Mala Premium,RAM-ML-011,Mala,1469,1689,77,Genuine freshwater pearl mala for Chandra (Moon) planet remedies and calming meditation practice.,Natural freshwater pearl mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,56,ACTIVE,false
5 Mukhi Rudraksha Japa Mala 108+1 Beads Temple Grade,RAM-ML-012,Mala,949,1109,84,Lab-certified genuine 5 mukhi Nepali Rudraksha beads strung in traditional red silk thread. 108+1 beads for japa meditation.,Certified Nepali Rudraksha prayer mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,59,ACTIVE,false
Tulsi Japa Mala Handcrafted Beads,RAM-ML-013,Mala,139,169,31,Hand-carved original tulsi (holy basil) wood beads strung on silk thread. Sacred for Vaishnavite devotees and daily jaap.,Holy basil wood meditation mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,24,ACTIVE,false
Sphatik (Crystal Quartz) Mala Sacred,RAM-ML-014,Mala,929,1089,52,Premium quality natural sphatik (crystal quartz) mala with transparent beads. Ideal for Devi puja and spiritual healing.,Natural crystal quartz prayer mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,114,ACTIVE,false
Sandalwood (Chandan) Mala Standardmm Beads,RAM-ML-015,Mala,1869,2359,73,Genuine Mysore sandalwood mala with natural fragrance that deepens with meditation. Calming and spiritual aid.,Fragrant sandalwood meditation beads,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,20,ACTIVE,false
White Vaijanti Mala Premium,RAM-ML-016,Mala,239,279,64,Natural white vaijanti beads mala sacred to Lord Vishnu. Used for Vishnu Sahasranama and Narayana mantra jaap.,Sacred Job's tears seed mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,37,ACTIVE,false
Red Coral (Moonga) Mala Temple Grade,RAM-ML-017,Mala,3719,4649,28,Authentic red coral (moonga) bead mala for Mangal (Mars) graha shanti puja and astrological remedies.,Natural red coral prayer mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,34,ACTIVE,false
Black Agate (Hakik) Mala Handcrafted,RAM-ML-018,Mala,899,1059,80,Polished natural black hakik (agate) mala for protection and grounding meditation. 108+1 beads on silk cord.,Semi-precious black onyx prayer mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,71,ACTIVE,false
Lotus Seed (Kamal Gatta) Mala Classic,RAM-ML-019,Mala,449,559,79,Natural dried lotus seed mala sacred for Lakshmi puja. Each seed represents purity and spiritual awakening.,Dried lotus seed meditation beads,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,19,ACTIVE,false
Tiger Eye Stone Mala Sacred,RAM-ML-020,Mala,899,1069,75,"Polished natural tiger eye semi-precious stone mala for courage, confidence, and spiritual protection.",Natural tiger eye crystal mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,53,ACTIVE,false
Navratna (Nine Gem) Bracelet Mala Temple Grade,RAM-ML-021,Mala,2189,2679,16,Genuine navratna bracelet with 9 natural gemstones representing all 9 planets for astrological harmony.,Nine-gem astrological bracelet,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,35,ACTIVE,false
Pearl (Moti) Mala Royal,RAM-ML-022,Mala,1959,2429,32,Genuine freshwater pearl mala for Chandra (Moon) planet remedies and calming meditation practice.,Natural freshwater pearl mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,58,ACTIVE,false
5 Mukhi Rudraksha Japa Mala 108+1 Beads Traditional,RAM-ML-023,Mala,2289,2979,25,Lab-certified genuine 5 mukhi Nepali Rudraksha beads strung in traditional red silk thread. 108+1 beads for japa meditation.,Certified Nepali Rudraksha prayer mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,87,ACTIVE,false
Tulsi Japa Mala Deluxe Beads,RAM-ML-024,Mala,539,729,115,Hand-carved original tulsi (holy basil) wood beads strung on silk thread. Sacred for Vaishnavite devotees and daily jaap.,Holy basil wood meditation mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,23,ACTIVE,false
Sphatik (Crystal Quartz) Mala Artisan,RAM-ML-025,Mala,909,1119,66,Premium quality natural sphatik (crystal quartz) mala with transparent beads. Ideal for Devi puja and spiritual healing.,Natural crystal quartz prayer mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,37,ACTIVE,false
Sandalwood (Chandan) Mala Mediummm Beads,RAM-ML-026,Mala,1679,1999,25,Genuine Mysore sandalwood mala with natural fragrance that deepens with meditation. Calming and spiritual aid.,Fragrant sandalwood meditation beads,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,63,ACTIVE,false
White Vaijanti Mala Royal,RAM-ML-027,Mala,269,329,64,Natural white vaijanti beads mala sacred to Lord Vishnu. Used for Vishnu Sahasranama and Narayana mantra jaap.,Sacred Job's tears seed mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,37,ACTIVE,false
Red Coral (Moonga) Mala Classic,RAM-ML-028,Mala,3329,3699,33,Authentic red coral (moonga) bead mala for Mangal (Mars) graha shanti puja and astrological remedies.,Natural red coral prayer mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,25,ACTIVE,false
Black Agate (Hakik) Mala Heritage,RAM-ML-029,Mala,1489,1899,78,Polished natural black hakik (agate) mala for protection and grounding meditation. 108+1 beads on silk cord.,Semi-precious black onyx prayer mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,86,ACTIVE,false
Lotus Seed (Kamal Gatta) Mala Artisan,RAM-ML-030,Mala,139,169,84,Natural dried lotus seed mala sacred for Lakshmi puja. Each seed represents purity and spiritual awakening.,Dried lotus seed meditation beads,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,45,ACTIVE,false
Tiger Eye Stone Mala Deluxe,RAM-ML-031,Mala,729,979,24,"Polished natural tiger eye semi-precious stone mala for courage, confidence, and spiritual protection.",Natural tiger eye crystal mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,43,ACTIVE,false
Navratna (Nine Gem) Bracelet Mala Sacred,RAM-ML-032,Mala,4529,4989,32,Genuine navratna bracelet with 9 natural gemstones representing all 9 planets for astrological harmony.,Nine-gem astrological bracelet,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,25,ACTIVE,false
Pearl (Moti) Mala Temple Grade,RAM-ML-033,Mala,1189,1599,45,Genuine freshwater pearl mala for Chandra (Moon) planet remedies and calming meditation practice.,Natural freshwater pearl mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,53,ACTIVE,false
5 Mukhi Rudraksha Japa Mala 108+1 Beads Classic,RAM-ML-034,Mala,2099,2539,58,Lab-certified genuine 5 mukhi Nepali Rudraksha beads strung in traditional red silk thread. 108+1 beads for japa meditation.,Certified Nepali Rudraksha prayer mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,48,ACTIVE,false
Tulsi Japa Mala Classic Beads,RAM-ML-035,Mala,479,559,114,Hand-carved original tulsi (holy basil) wood beads strung on silk thread. Sacred for Vaishnavite devotees and daily jaap.,Holy basil wood meditation mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,45,ACTIVE,false
Sphatik (Crystal Quartz) Mala Classic,RAM-ML-036,Mala,1109,1299,36,Premium quality natural sphatik (crystal quartz) mala with transparent beads. Ideal for Devi puja and spiritual healing.,Natural crystal quartz prayer mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,96,ACTIVE,false
Sandalwood (Chandan) Mala Smallmm Beads,RAM-ML-037,Mala,2189,2589,63,Genuine Mysore sandalwood mala with natural fragrance that deepens with meditation. Calming and spiritual aid.,Fragrant sandalwood meditation beads,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,34,ACTIVE,false
White Vaijanti Mala Handcrafted,RAM-ML-038,Mala,589,759,85,Natural white vaijanti beads mala sacred to Lord Vishnu. Used for Vishnu Sahasranama and Narayana mantra jaap.,Sacred Job's tears seed mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,23,ACTIVE,false
Red Coral (Moonga) Mala Artisan,RAM-ML-039,Mala,739,909,28,Authentic red coral (moonga) bead mala for Mangal (Mars) graha shanti puja and astrological remedies.,Natural red coral prayer mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,37,ACTIVE,false
Black Agate (Hakik) Mala Artisan,RAM-ML-040,Mala,949,1049,90,Polished natural black hakik (agate) mala for protection and grounding meditation. 108+1 beads on silk cord.,Semi-precious black onyx prayer mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,53,ACTIVE,false
Lotus Seed (Kamal Gatta) Mala Sacred,RAM-ML-041,Mala,119,159,133,Natural dried lotus seed mala sacred for Lakshmi puja. Each seed represents purity and spiritual awakening.,Dried lotus seed meditation beads,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,33,ACTIVE,false
Tiger Eye Stone Mala Classic,RAM-ML-042,Mala,1239,1409,59,"Polished natural tiger eye semi-precious stone mala for courage, confidence, and spiritual protection.",Natural tiger eye crystal mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,58,ACTIVE,false
Navratna (Nine Gem) Bracelet Mala Premium,RAM-ML-043,Mala,4129,5079,32,Genuine navratna bracelet with 9 natural gemstones representing all 9 planets for astrological harmony.,Nine-gem astrological bracelet,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,37,ACTIVE,false
Pearl (Moti) Mala Classic,RAM-ML-044,Mala,479,609,34,Genuine freshwater pearl mala for Chandra (Moon) planet remedies and calming meditation practice.,Natural freshwater pearl mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,40,ACTIVE,false
5 Mukhi Rudraksha Japa Mala 108+1 Beads Sacred,RAM-ML-045,Mala,1169,1519,71,Lab-certified genuine 5 mukhi Nepali Rudraksha beads strung in traditional red silk thread. 108+1 beads for japa meditation.,Certified Nepali Rudraksha prayer mala,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,36,ACTIVE,false
Tulsi Japa Mala Traditional Beads,RAM-ML-046,Mala,529,709,129,Hand-carved original tulsi (holy basil) wood beads strung on silk thread. Sacred for Vaishnavite devotees and daily jaap.,Holy basil wood meditation mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,24,ACTIVE,false
Sphatik (Crystal Quartz) Mala Premium,RAM-ML-047,Mala,789,1069,16,Premium quality natural sphatik (crystal quartz) mala with transparent beads. Ideal for Devi puja and spiritual healing.,Natural crystal quartz prayer mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,76,ACTIVE,false
Sandalwood (Chandan) Mala Largemm Beads,RAM-ML-048,Mala,2819,3499,52,Genuine Mysore sandalwood mala with natural fragrance that deepens with meditation. Calming and spiritual aid.,Fragrant sandalwood meditation beads,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,28,ACTIVE,false
White Vaijanti Mala Traditional,RAM-ML-049,Mala,549,609,80,Natural white vaijanti beads mala sacred to Lord Vishnu. Used for Vishnu Sahasranama and Narayana mantra jaap.,Sacred Job's tears seed mala,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&auto=format&fit=crop&q=80,26,ACTIVE,false
Red Coral (Moonga) Mala Deluxe,RAM-ML-050,Mala,3609,4799,50,Authentic red coral (moonga) bead mala for Mangal (Mars) graha shanti puja and astrological remedies.,Natural red coral prayer mala,https://images.unsplash.com/photo-1571406252241-db0280bd36cd?w=800&auto=format&fit=crop&q=80,22,ACTIVE,false
